epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,9236.75,0.92182,0.70649,1.18854,0.73823,0.76358,0.77577,0.54187,1.31921,0.99006,1.42252,0.000438703,0.000438703,0.000438703
72,9378.46,0.90811,0.69996,1.17365,0.76769,0.73392,0.77998,0.5604,1.29792,1.01735,1.39992,0.000424556,0.000424556,0.000424556
73,9520.89,0.92288,0.71263,1.19247,0.77738,0.7222,0.76285,0.55091,1.30891,1.06814,1.41471,0.000410409,0.000410409,0.000410409
74,9662.76,0.89858,0.67948,1.1687,0.77829,0.73663,0.79139,0.55106,1.27408,1.01103,1.38574,0.000396262,0.000396262,0.000396262
75,9805.19,0.89215,0.67611,1.1712,0.70159,0.75752,0.77406,0.54566,1.33109,1.12683,1.43041,0.000382115,0.000382115,0.000382115
76,9946.53,0.91825,0.70767,1.17993,0.69159,0.7609,0.76532,0.5532,1.27287,1.08141,1.37737,0.000367967,0.000367967,0.000367967
77,10088.8,0.89439,0.66911,1.17117,0.76022,0.67977,0.75491,0.53978,1.30667,1.12073,1.38474,0.00035382,0.00035382,0.00035382
78,10230.6,0.89738,0.67982,1.17244,0.79846,0.7054,0.78823,0.55202,1.28986,1.00446,1.4045,0.000339673,0.000339673,0.000339673
79,10374.6,0.88497,0.66031,1.15873,0.72215,0.76682,0.77631,0.54072,1.31986,1.04976,1.41338,0.000325526,0.000325526,0.000325526
80,10516.4,0.87405,0.65394,1.16142,0.79916,0.70076,0.76152,0.54294,1.29029,1.06555,1.41366,0.000311379,0.000311379,0.000311379
81,10659.6,0.88125,0.67035,1.16291,0.77178,0.73447,0.75504,0.53871,1.32967,1.08181,1.42788,0.000297232,0.000297232,0.000297232
82,10802,0.86992,0.642,1.1511,0.74617,0.76661,0.77118,0.55073,1.31118,0.9982,1.41985,0.000283085,0.000283085,0.000283085
83,10944.2,0.86605,0.63154,1.14592,0.71126,0.78061,0.79427,0.54686,1.32711,1.05974,1.40635,0.000268938,0.000268938,0.000268938
84,11085.8,0.87334,0.634,1.14532,0.72783,0.72919,0.75186,0.52513,1.34052,1.1295,1.45477,0.000254791,0.000254791,0.000254791
85,11228.1,0.85743,0.61308,1.14462,0.77602,0.70794,0.76439,0.54195,1.30651,1.11234,1.42095,0.000240644,0.000240644,0.000240644
86,11370.4,0.88498,0.63755,1.1533,0.70083,0.74826,0.75322,0.5422,1.28452,1.0888,1.39479,0.000226497,0.000226497,0.000226497
87,11512.6,0.85465,0.62308,1.14563,0.7366,0.74163,0.76009,0.55107,1.30414,1.11808,1.4293,0.000212349,0.000212349,0.000212349
88,11655.4,0.8317,0.60429,1.12356,0.77569,0.70676,0.74736,0.53595,1.33981,1.05097,1.43156,0.000198202,0.000198202,0.000198202
89,11797.8,0.84509,0.59828,1.13237,0.74991,0.73383,0.76021,0.53972,1.30843,1.09357,1.40525,0.000184055,0.000184055,0.000184055
90,11939.5,0.83493,0.5986,1.129,0.71073,0.7689,0.75793,0.5465,1.27685,1.07119,1.39716,0.000169908,0.000169908,0.000169908
91,12131.5,0.79051,0.51468,1.10858,0.7573,0.75703,0.77128,0.55035,1.31561,1.05137,1.42482,0.000155761,0.000155761,0.000155761
92,12273.6,0.76909,0.51212,1.09637,0.73126,0.78052,0.76805,0.54238,1.32707,1.01608,1.44099,0.000141614,0.000141614,0.000141614
93,12415.7,0.77363,0.50559,1.0985,0.69836,0.78052,0.76981,0.5431,1.31358,1.07162,1.40557,0.000127467,0.000127467,0.000127467
94,12558.4,0.77444,0.47582,1.09083,0.7126,0.75491,0.77509,0.55847,1.30406,1.03818,1.40918,0.00011332,0.00011332,0.00011332
95,12700.6,0.76271,0.49,1.08664,0.76749,0.70873,0.76346,0.5471,1.29542,1.08844,1.40765,9.91726e-05,9.91726e-05,9.91726e-05
96,12842.2,0.74839,0.4871,1.08582,0.71322,0.76419,0.76614,0.549,1.29787,1.08779,1.40472,8.50255e-05,8.50255e-05,8.50255e-05
97,12984,0.75551,0.48481,1.09494,0.70635,0.7669,0.75555,0.54294,1.28618,1.09758,1.40437,7.08784e-05,7.08784e-05,7.08784e-05
98,13126,0.75646,0.47028,1.09334,0.72108,0.75593,0.76838,0.54828,1.27365,1.07406,1.40146,5.67313e-05,5.67313e-05,5.67313e-05
99,13267.5,0.75033,0.48112,1.09257,0.72485,0.76677,0.77152,0.55668,1.27029,1.08237,1.40426,4.25842e-05,4.25842e-05,4.25842e-05
100,13410.1,0.73294,0.4508,1.07012,0.72488,0.77345,0.77228,0.55337,1.32491,1.07745,1.43579,2.84371e-05,2.84371e-05,2.84371e-05
